[2019-12-26 09:26:57,490]-[INFO]-localhost:62001
[2019-12-26 09:26:58,867]-[INFO]-手机版本为：5.1.1

[2019-12-26 09:26:58,957]-[INFO]-localhost:62001
[2019-12-26 09:26:58,985]-[INFO]-appium -p 4743 -bp 4799 -U localhost:62001
[2019-12-26 09:27:14,474]-[ERROR]-no elecom.unique.app:id/et_account
[2019-12-26 09:28:28,265]-[INFO]-localhost:62001
[2019-12-26 09:28:28,514]-[INFO]-手机版本为：5.1.1

[2019-12-26 09:28:28,583]-[INFO]-localhost:62001
[2019-12-26 09:28:28,605]-[INFO]-appium -p 4802 -bp 4761 -U localhost:62001
[2019-12-26 09:28:35,027]-[INFO]-localhost:62001
[2019-12-26 09:28:35,293]-[INFO]-手机版本为：5.1.1

[2019-12-26 09:28:35,371]-[INFO]-localhost:62001
[2019-12-26 09:28:35,394]-[INFO]-appium -p 4810 -bp 4752 -U localhost:62001
[2019-12-26 09:29:09,069]-[INFO]-driver success
[2019-12-26 09:51:32,719]-[INFO]-localhost:62001
[2019-12-26 09:51:32,985]-[INFO]-手机版本为：5.1.1

[2019-12-26 09:51:33,049]-[INFO]-localhost:62001
[2019-12-26 09:51:33,072]-[INFO]-appium -p 4875 -bp 4796 -U localhost:62001
[2019-12-26 09:51:55,428]-[INFO]-driver success
[2019-12-26 11:22:50,736]-[INFO]-localhost:62001
[2019-12-26 11:22:51,009]-[INFO]-手机版本为：5.1.1

[2019-12-26 11:22:51,077]-[INFO]-localhost:62001
[2019-12-26 11:22:51,096]-[INFO]-appium -p 4799 -bp 4881 -U localhost:62001
[2019-12-26 11:23:14,099]-[INFO]-driver success
[2019-12-26 11:25:28,146]-[INFO]-localhost:62001
[2019-12-26 11:25:28,408]-[INFO]-手机版本为：5.1.1

[2019-12-26 11:25:28,476]-[INFO]-localhost:62001
[2019-12-26 11:25:28,496]-[INFO]-appium -p 4884 -bp 4723 -U localhost:62001
[2019-12-26 11:25:50,709]-[INFO]-driver success
